,AMZN,AXP,BA,GOOGL,HON,KO,MSFT,SPY,UNH
AMZN,0.005121730833460896,-0.00013832367670351157,0.0015310208192904071,0.0025914475569837354,0.0005942594409344691,0.0007298067873036059,0.001931858456592872,0.0007791777435639075,-0.00023837882293615802
AXP,-0.00013832367670351157,0.0034245352363135788,0.0013249192989806752,-9.712312449138467e-05,0.0004030669917747544,-0.00011345701148169385,0.000801618651725537,0.0007488446669577791,0.0005754614485896933
BA,0.0015310208192904071,0.0013249192989806752,0.004413193933395123,0.0009089080882986545,0.0009322444783737699,0.0005440101990155642,0.0006795193198702465,0.0009928728897591796,0.00101500344611768
GOOGL,0.0025914475569837354,-9.712312449138467e-05,0.0009089080882986545,0.0034519002496162464,0.0006511936082411186,0.0009970785123602313,0.002444771832331801,0.0007958064215895145,-0.00026531992358253876
HON,0.0005942594409344691,0.0004030669917747544,0.0009322444783737699,0.0006511936082411186,0.0010016034714971252,0.00045207967469344855,0.0006807689505939689,0.000672167229053175,0.0005239018656935091
KO,0.0007298067873036059,-0.00011345701148169385,0.0005440101990155642,0.0009970785123602313,0.00045207967469344855,0.0009835008177284496,0.0011997543129351007,0.0004415294961920922,-1.394737827235253e-05
MSFT,0.001931858456592872,0.000801618651725537,0.0006795193198702465,0.002444771832331801,0.0006807689505939689,0.0011997543129351007,0.004808373394157803,0.0011933940944997363,-0.0003880713545851561
SPY,0.0007791777435639075,0.0007488446669577791,0.0009928728897591796,0.0007958064215895145,0.000672167229053175,0.0004415294961920922,0.0011933940944997363,0.0007439486506541723,0.00036769572922969174
UNH,-0.00023837882293615802,0.0005754614485896933,0.00101500344611768,-0.00026531992358253876,0.0005239018656935091,-1.394737827235253e-05,-0.0003880713545851561,0.00036769572922969174,0.0016357697845022024
